{'00': 182, '01': 62, '10': 4664, '11': 92}
{'00': 166, '01': 56, '10': 4693, '11': 85}
{'00': 217, '01': 54, '10': 4641, '11': 88}
{'00': 137, '01': 49, '10': 4723, '11': 91}
{'00': 144, '01': 63, '10': 4727, '11': 66}
{'00': 176, '01': 62, '10': 4694, '11': 68}
{'00': 192, '01': 42, '10': 4699, '11': 67}
{'00': 172, '01': 73, '10': 4686, '11': 69}
{'00': 163, '01': 57, '10': 4672, '11': 108}
{'00': 147, '01': 53, '10': 4704, '11': 96}
{'00': 187, '01': 53, '10': 4674, '11': 86}
{'00': 145, '01': 48, '10': 4735, '11': 72}
{'00': 149, '01': 43, '10': 4724, '11': 84}
{'00': 165, '01': 48, '10': 4700, '11': 87}
{'00': 204, '01': 56, '10': 4652, '11': 88}
{'00': 160, '01': 64, '10': 4697, '11': 79}
{'00': 167, '01': 58, '10': 4684, '11': 91}
{'00': 147, '01': 49, '10': 4706, '11': 98}
{'00': 152, '01': 56, '10': 4691, '11': 101}
{'00': 156, '01': 61, '10': 4695, '11': 88}
