{'00': 860, '01': 615, '10': 2861, '11': 664}
{'00': 968, '01': 590, '10': 2888, '11': 554}
{'00': 885, '01': 602, '10': 2853, '11': 660}
{'00': 950, '01': 667, '10': 2755, '11': 628}
{'00': 943, '01': 602, '10': 2895, '11': 560}
{'00': 959, '01': 645, '10': 2727, '11': 669}
{'00': 899, '01': 607, '10': 2854, '11': 640}
{'00': 913, '01': 635, '10': 2829, '11': 623}
{'00': 844, '01': 557, '10': 2907, '11': 692}
{'00': 852, '01': 564, '10': 2904, '11': 680}
{'00': 832, '01': 507, '10': 2993, '11': 668}
{'00': 882, '01': 589, '10': 2814, '11': 715}
{'00': 809, '01': 553, '10': 2948, '11': 690}
{'00': 863, '01': 597, '10': 2907, '11': 633}
{'00': 807, '01': 505, '10': 3054, '11': 634}
{'00': 854, '01': 553, '10': 3006, '11': 587}
{'00': 805, '01': 540, '10': 3056, '11': 599}
{'00': 854, '01': 517, '10': 3002, '11': 627}
{'00': 864, '01': 525, '10': 2991, '11': 620}
{'00': 760, '01': 520, '10': 3104, '11': 616}
