{'00': 1298, '01': 714, '10': 2340, '11': 648}
{'00': 1252, '01': 705, '10': 2429, '11': 614}
{'00': 1260, '01': 669, '10': 2395, '11': 676}
{'00': 1367, '01': 711, '10': 2328, '11': 594}
{'00': 1288, '01': 775, '10': 2302, '11': 635}
{'00': 1314, '01': 694, '10': 2348, '11': 644}
{'00': 1207, '01': 763, '10': 2315, '11': 715}
{'00': 1314, '01': 687, '10': 2366, '11': 633}
{'00': 1237, '01': 716, '10': 2383, '11': 664}
{'00': 1306, '01': 700, '10': 2245, '11': 749}
{'00': 1280, '01': 676, '10': 2365, '11': 679}
{'00': 1245, '01': 717, '10': 2422, '11': 616}
{'00': 1097, '01': 640, '10': 2439, '11': 824}
{'00': 1314, '01': 699, '10': 2474, '11': 513}
{'00': 1172, '01': 684, '10': 2522, '11': 622}
{'00': 1229, '01': 892, '10': 2340, '11': 539}
{'00': 1168, '01': 866, '10': 2377, '11': 589}
{'00': 1306, '01': 854, '10': 2186, '11': 654}
{'00': 1271, '01': 848, '10': 2262, '11': 619}
{'00': 1394, '01': 841, '10': 2215, '11': 550}
