{'00': 550, '01': 2347, '10': 213, '11': 1890}
{'00': 584, '01': 2183, '10': 358, '11': 1875}
{'00': 642, '01': 2340, '10': 249, '11': 1769}
{'00': 518, '01': 2305, '10': 269, '11': 1908}
{'00': 418, '01': 2308, '10': 278, '11': 1996}
{'00': 574, '01': 2226, '10': 360, '11': 1840}
{'00': 458, '01': 2306, '10': 283, '11': 1953}
{'00': 354, '01': 2459, '10': 173, '11': 2014}
{'00': 427, '01': 2341, '10': 272, '11': 1960}
{'00': 409, '01': 2380, '10': 255, '11': 1956}
{'00': 377, '01': 2301, '10': 283, '11': 2039}
{'00': 369, '01': 2430, '10': 202, '11': 1999}
{'00': 567, '01': 2330, '10': 273, '11': 1830}
{'00': 687, '01': 2250, '10': 331, '11': 1732}
{'00': 425, '01': 2361, '10': 276, '11': 1938}
{'00': 473, '01': 2364, '10': 279, '11': 1884}
{'00': 390, '01': 2392, '10': 184, '11': 2034}
{'00': 607, '01': 2301, '10': 326, '11': 1766}
{'00': 730, '01': 2210, '10': 338, '11': 1722}
{'00': 537, '01': 2303, '10': 287, '11': 1873}
