{'000': 563, '001': 662, '010': 550, '011': 636, '100': 616, '101': 610, '110': 656, '111': 707}
{'000': 545, '001': 704, '010': 677, '011': 607, '100': 523, '101': 612, '110': 680, '111': 652}
{'000': 591, '001': 631, '010': 648, '011': 655, '100': 619, '101': 552, '110': 612, '111': 692}
{'000': 623, '001': 623, '010': 577, '011': 568, '100': 630, '101': 644, '110': 664, '111': 671}
{'000': 585, '001': 633, '010': 544, '011': 618, '100': 681, '101': 647, '110': 664, '111': 628}
{'000': 601, '001': 601, '010': 646, '011': 662, '100': 516, '101': 626, '110': 639, '111': 709}
{'000': 571, '001': 599, '010': 604, '011': 609, '100': 578, '101': 655, '110': 691, '111': 693}
{'000': 538, '001': 688, '010': 605, '011': 648, '100': 527, '101': 688, '110': 683, '111': 623}
{'000': 582, '001': 629, '010': 670, '011': 640, '100': 605, '101': 646, '110': 645, '111': 583}
{'000': 582, '001': 620, '010': 650, '011': 654, '100': 598, '101': 622, '110': 674, '111': 600}
{'000': 582, '001': 580, '010': 688, '011': 655, '100': 598, '101': 602, '110': 654, '111': 641}
{'000': 608, '001': 688, '010': 647, '011': 595, '100': 581, '101': 588, '110': 630, '111': 663}
{'000': 614, '001': 584, '010': 685, '011': 688, '100': 529, '101': 628, '110': 645, '111': 627}
{'000': 564, '001': 621, '010': 609, '011': 656, '100': 637, '101': 613, '110': 665, '111': 635}
{'000': 615, '001': 683, '010': 601, '011': 589, '100': 601, '101': 576, '110': 650, '111': 685}
{'000': 525, '001': 576, '010': 649, '011': 669, '100': 692, '101': 598, '110': 657, '111': 634}
{'000': 595, '001': 636, '010': 565, '011': 583, '100': 647, '101': 606, '110': 707, '111': 661}
{'000': 631, '001': 596, '010': 665, '011': 651, '100': 523, '101': 617, '110': 703, '111': 614}
{'000': 524, '001': 642, '010': 644, '011': 706, '100': 546, '101': 634, '110': 637, '111': 667}
{'000': 560, '001': 604, '010': 622, '011': 705, '100': 528, '101': 545, '110': 706, '111': 730}
