{'000': 807, '001': 775, '010': 664, '011': 661, '100': 481, '101': 502, '110': 557, '111': 553}
{'000': 844, '001': 822, '010': 729, '011': 681, '100': 439, '101': 452, '110': 547, '111': 486}
{'000': 939, '001': 870, '010': 647, '011': 757, '100': 426, '101': 458, '110': 446, '111': 457}
{'000': 834, '001': 832, '010': 665, '011': 657, '100': 497, '101': 497, '110': 477, '111': 541}
{'000': 799, '001': 841, '010': 655, '011': 565, '100': 490, '101': 498, '110': 554, '111': 598}
{'000': 811, '001': 732, '010': 590, '011': 576, '100': 553, '101': 525, '110': 605, '111': 608}
{'000': 881, '001': 739, '010': 585, '011': 617, '100': 537, '101': 543, '110': 529, '111': 569}
{'000': 794, '001': 853, '010': 699, '011': 672, '100': 428, '101': 444, '110': 550, '111': 560}
{'000': 862, '001': 790, '010': 708, '011': 579, '100': 462, '101': 542, '110': 536, '111': 521}
{'000': 825, '001': 758, '010': 675, '011': 697, '100': 484, '101': 478, '110': 520, '111': 563}
{'000': 790, '001': 754, '010': 660, '011': 643, '100': 514, '101': 496, '110': 599, '111': 544}
{'000': 865, '001': 774, '010': 641, '011': 664, '100': 474, '101': 525, '110': 506, '111': 551}
{'000': 768, '001': 705, '010': 596, '011': 583, '100': 585, '101': 608, '110': 572, '111': 583}
{'000': 880, '001': 874, '010': 620, '011': 641, '100': 462, '101': 508, '110': 486, '111': 529}
{'000': 890, '001': 780, '010': 771, '011': 657, '100': 442, '101': 445, '110': 463, '111': 552}
{'000': 779, '001': 829, '010': 657, '011': 569, '100': 535, '101': 532, '110': 541, '111': 558}
{'000': 824, '001': 802, '010': 592, '011': 554, '100': 534, '101': 528, '110': 571, '111': 595}
{'000': 774, '001': 770, '010': 664, '011': 627, '100': 475, '101': 467, '110': 583, '111': 640}
{'000': 826, '001': 816, '010': 681, '011': 660, '100': 444, '101': 466, '110': 541, '111': 566}
