{'000': 711, '001': 590, '010': 735, '011': 602, '100': 650, '101': 564, '110': 609, '111': 539}
{'000': 571, '001': 684, '010': 602, '011': 710, '100': 588, '101': 619, '110': 571, '111': 655}
{'000': 569, '001': 675, '010': 603, '011': 702, '100': 574, '101': 684, '110': 587, '111': 606}
{'000': 546, '001': 691, '010': 599, '011': 730, '100': 620, '101': 642, '110': 540, '111': 632}
{'000': 579, '001': 682, '010': 604, '011': 697, '100': 564, '101': 676, '110': 535, '111': 663}
{'000': 553, '001': 729, '010': 575, '011': 723, '100': 585, '101': 668, '110': 535, '111': 632}
{'000': 554, '001': 682, '010': 631, '011': 693, '100': 585, '101': 630, '110': 580, '111': 645}
{'000': 681, '001': 597, '010': 613, '011': 724, '100': 644, '101': 618, '110': 516, '111': 607}
{'000': 662, '001': 742, '010': 533, '011': 679, '100': 643, '101': 673, '110': 464, '111': 604}
{'000': 664, '001': 748, '010': 453, '011': 700, '100': 709, '101': 675, '110': 443, '111': 608}
{'000': 670, '001': 675, '010': 523, '011': 704, '100': 695, '101': 694, '110': 462, '111': 577}
{'000': 642, '001': 717, '010': 493, '011': 744, '100': 681, '101': 711, '110': 420, '111': 592}
{'000': 631, '001': 757, '010': 513, '011': 663, '100': 613, '101': 732, '110': 496, '111': 595}
{'000': 629, '001': 800, '010': 542, '011': 660, '100': 634, '101': 692, '110': 466, '111': 577}
{'000': 676, '001': 737, '010': 525, '011': 646, '100': 649, '101': 699, '110': 485, '111': 583}
{'000': 648, '001': 702, '010': 545, '011': 717, '100': 665, '101': 643, '110': 459, '111': 621}
{'000': 564, '001': 633, '010': 624, '011': 716, '100': 584, '101': 577, '110': 560, '111': 742}
{'000': 697, '001': 529, '010': 654, '011': 662, '100': 707, '101': 504, '110': 539, '111': 708}
{'000': 669, '001': 729, '010': 429, '011': 758, '100': 674, '101': 663, '110': 429, '111': 649}
{'000': 680, '001': 743, '010': 495, '011': 735, '100': 655, '101': 673, '110': 444, '111': 575}
