{'0000': 243, '0001': 403, '0010': 261, '0011': 375, '0100': 282, '0101': 398, '0110': 253, '0111': 402, '1000': 267, '1001': 339, '1010': 241, '1011': 378, '1100': 224, '1101': 357, '1110': 237, '1111': 340}
{'0000': 288, '0001': 264, '0010': 256, '0011': 267, '0100': 387, '0101': 389, '0110': 330, '0111': 345, '1000': 264, '1001': 287, '1010': 237, '1011': 247, '1100': 353, '1101': 350, '1110': 373, '1111': 363}
{'0000': 285, '0001': 324, '0010': 301, '0011': 306, '0100': 319, '0101': 332, '0110': 292, '0111': 321, '1000': 311, '1001': 330, '1010': 258, '1011': 302, '1100': 320, '1101': 321, '1110': 317, '1111': 361}
{'0000': 317, '0001': 301, '0010': 294, '0011': 276, '0100': 350, '0101': 380, '0110': 350, '0111': 324, '1000': 309, '1001': 302, '1010': 260, '1011': 275, '1100': 311, '1101': 329, '1110': 296, '1111': 326}
{'0000': 300, '0001': 315, '0010': 274, '0011': 304, '0100': 328, '0101': 365, '0110': 309, '0111': 309, '1000': 308, '1001': 312, '1010': 278, '1011': 284, '1100': 349, '1101': 334, '1110': 329, '1111': 302}
{'0000': 314, '0001': 341, '0010': 277, '0011': 322, '0100': 319, '0101': 402, '0110': 289, '0111': 280, '1000': 319, '1001': 303, '1010': 289, '1011': 305, '1100': 300, '1101': 365, '1110': 287, '1111': 288}
{'0000': 272, '0001': 218, '0010': 255, '0011': 215, '0100': 425, '0101': 406, '0110': 380, '0111': 393, '1000': 257, '1001': 227, '1010': 213, '1011': 208, '1100': 383, '1101': 398, '1110': 388, '1111': 362}
{'0000': 313, '0001': 320, '0010': 287, '0011': 265, '0100': 345, '0101': 351, '0110': 307, '0111': 357, '1000': 323, '1001': 300, '1010': 287, '1011': 267, '1100': 350, '1101': 330, '1110': 311, '1111': 287}
{'0000': 313, '0001': 270, '0010': 306, '0011': 246, '0100': 350, '0101': 325, '0110': 292, '0111': 238, '1000': 332, '1001': 358, '1010': 287, '1011': 266, '1100': 392, '1101': 373, '1110': 325, '1111': 327}
{'0000': 335, '0001': 322, '0010': 290, '0011': 246, '0100': 369, '0101': 366, '0110': 330, '0111': 325, '1000': 327, '1001': 294, '1010': 242, '1011': 265, '1100': 333, '1101': 376, '1110': 313, '1111': 267}
{'0000': 335, '0001': 317, '0010': 312, '0011': 345, '0100': 278, '0101': 327, '0110': 337, '0111': 321, '1000': 267, '1001': 336, '1010': 258, '1011': 297, '1100': 311, '1101': 350, '1110': 272, '1111': 337}
{'0000': 280, '0001': 296, '0010': 256, '0011': 240, '0100': 404, '0101': 396, '0110': 331, '0111': 336, '1000': 289, '1001': 266, '1010': 230, '1011': 248, '1100': 357, '1101': 414, '1110': 316, '1111': 341}
{'0000': 259, '0001': 264, '0010': 244, '0011': 234, '0100': 248, '0101': 273, '0110': 283, '0111': 220, '1000': 382, '1001': 374, '1010': 391, '1011': 366, '1100': 377, '1101': 345, '1110': 380, '1111': 360}
{'0000': 301, '0001': 305, '0010': 291, '0011': 286, '0100': 344, '0101': 346, '0110': 335, '0111': 317, '1000': 294, '1001': 295, '1010': 260, '1011': 270, '1100': 345, '1101': 356, '1110': 313, '1111': 342}
{'0000': 306, '0001': 323, '0010': 289, '0011': 318, '0100': 274, '0101': 295, '0110': 315, '0111': 314, '1000': 314, '1001': 335, '1010': 306, '1011': 320, '1100': 335, '1101': 357, '1110': 283, '1111': 316}
{'0000': 257, '0001': 251, '0010': 246, '0011': 265, '0100': 386, '0101': 391, '0110': 389, '0111': 345, '1000': 239, '1001': 269, '1010': 243, '1011': 255, '1100': 369, '1101': 363, '1110': 364, '1111': 368}
{'0000': 293, '0001': 275, '0010': 297, '0011': 299, '0100': 380, '0101': 329, '0110': 333, '0111': 333, '1000': 293, '1001': 291, '1010': 270, '1011': 253, '1100': 383, '1101': 300, '1110': 362, '1111': 309}
{'0000': 204, '0001': 200, '0010': 193, '0011': 187, '0100': 453, '0101': 462, '0110': 413, '0111': 440, '1000': 178, '1001': 169, '1010': 217, '1011': 193, '1100': 422, '1101': 445, '1110': 421, '1111': 403}
{'0000': 348, '0001': 336, '0010': 332, '0011': 309, '0100': 307, '0101': 354, '0110': 278, '0111': 304, '1000': 326, '1001': 326, '1010': 264, '1011': 306, '1100': 317, '1101': 302, '1110': 305, '1111': 286}
{'0000': 348, '0001': 344, '0010': 327, '0011': 293, '0100': 327, '0101': 340, '0110': 321, '0111': 332, '1000': 289, '1001': 295, '1010': 309, '1011': 266, '1100': 326, '1101': 298, '1110': 283, '1111': 302}
